,open,close,high,low,total_turnover,volume
2011-07-29,2981.021,2972.079,2995.974,2948.076,54358237266.0,4629825300.0
2011-08-01,2969.106,2977.721,2991.051,2958.832,41203123005.0,3388694900.0
2011-08-02,2958.85,2956.383,2958.85,2919.014,48435295389.0,3897835700.0
2011-08-03,2930.193,2954.87,2969.132,2927.096,49593983761.0,3866836200.0
2011-08-04,2962.913,2960.309,2983.012,2951.838,41335656567.0,3298571900.0
2011-08-05,2881.737,2897.417,2916.41,2868.157,60240017405.0,4931685400.0
2011-08-08,2864.514,2793.897,2888.769,2747.967,83694787456.0,7151776600.0
2011-08-09,2720.953,2798.19,2812.769,2697.062,79653278208.0,6984267600.0
2011-08-10,2845.352,2824.12,2858.553,2820.123,68580540607.0,5865931200.0
2011-08-11,2779.715,2866.924,2867.311,2777.761,69223945409.0,5899768900.0
2011-08-12,2881.554,2875.365,2894.224,2868.871,63487643741.0,5719740600.0
2011-08-15,2883.174,2917.883,2917.883,2870.19,61102226502.0,5987547600.0
2011-08-16,2920.829,2897.581,2932.14,2888.334,57496628333.0,5096268100.0
2011-08-17,2893.849,2886.013,2910.835,2881.631,41891853603.0,3917817900.0
2011-08-18,2887.103,2834.254,2889.997,2832.269,45784423192.0,4076888300.0
2011-08-19,2789.346,2807.664,2814.099,2782.556,48442961960.0,4325965000.0
2011-08-22,2809.329,2777.787,2829.687,2768.418,40136538647.0,3420968500.0
2011-08-23,2788.699,2821.003,2821.003,2777.287,36441994495.0,3262051400.0
2011-08-24,2834.577,2810.016,2845.47,2804.818,41939777958.0,3530156500.0
2011-08-25,2818.701,2903.837,2904.438,2815.912,75745960111.0,7221684500.0
2011-08-26,2889.382,2901.216,2907.398,2876.828,51759427726.0,4560410200.0
2011-08-29,2875.784,2852.809,2875.784,2847.476,49892653226.0,4426785000.0
2011-08-30,2875.144,2841.74,2901.733,2838.33,48565790320.0,4313787200.0
2011-08-31,2843.993,2846.776,2855.305,2823.77,37624544060.0,3210789900.0
2011-09-01,2852.386,2834.535,2869.249,2825.956,35143727252.0,3011870200.0
2011-09-02,2828.839,2803.854,2836.624,2790.769,31960598827.0,2931711600.0
2011-09-05,2780.834,2743.817,2780.834,2743.383,36040312618.0,3200566000.0
2011-09-06,2727.749,2723.303,2745.36,2711.071,33746805052.0,2971398200.0
2011-09-07,2738.789,2779.09,2779.205,2730.055,37096662193.0,3326538100.0
2011-09-08,2788.832,2756.105,2789.112,2755.799,31209441131.0,2683873500.0
2011-09-09,2770.153,2751.095,2796.352,2739.62,30348131114.0,2707350300.0
2011-09-13,2712.443,2720.283,2726.185,2698.66,30034340041.0,2671376400.0
2011-09-14,2729.256,2733.108,2736.905,2677.127,32858416579.0,3042478000.0
2011-09-15,2734.552,2729.051,2754.193,2728.905,32507109143.0,3117192500.0
2011-09-16,2744.218,2733.987,2755.889,2728.995,29743911967.0,2755593200.0
2011-09-19,2718.318,2679.27,2718.318,2678.795,29731416051.0,2909094100.0
2011-09-20,2675.043,2689.845,2702.28,2664.1,27274347411.0,2559868100.0
2011-09-21,2691.701,2771.011,2778.353,2677.349,59146487177.0,5619417100.0
2011-09-22,2745.146,2685.688,2754.917,2684.94,47793334084.0,4710266000.0
2011-09-23,2644.294,2669.478,2681.227,2631.425,45934334698.0,4259222400.0
2011-09-26,2645.245,2610.919,2679.56,2603.108,40495022542.0,3917512400.0
2011-09-27,2634.925,2637.879,2652.56,2613.423,37301310910.0,3502197400.0
2011-09-28,2654.83,2610.59,2660.099,2602.63,36195919556.0,3416955500.0
2011-09-29,2593.559,2588.185,2615.144,2577.286,37708584378.0,3709359300.0
2011-09-30,2595.582,2581.351,2607.566,2572.193,32376678343.0,3205082200.0
2011-10-10,2588.349,2557.082,2595.324,2552.284,28149902145.0,2832512200.0
2011-10-11,2625.163,2551.994,2635.694,2526.649,47409892228.0,4502984800.0
2011-10-12,2537.398,2644.758,2647.015,2523.344,62822831798.0,6594568000.0
2011-10-13,2636.863,2662.601,2672.91,2629.405,56631043777.0,6042620100.0
2011-10-14,2655.358,2653.782,2665.443,2629.879,37326709609.0,3833694800.0
2011-10-17,2658.947,2666.951,2687.102,2653.384,38101620397.0,3615831500.0
2011-10-18,2646.841,2592.209,2651.732,2589.205,39453303360.0,3937344800.0
2011-10-19,2599.917,2583.081,2617.411,2580.663,32114967067.0,3111616600.0
2011-10-20,2566.603,2520.532,2570.101,2500.486,39409600021.0,3984246200.0
2011-10-21,2522.257,2507.877,2538.117,2504.693,29090707044.0,2984350300.0
2011-10-24,2517.059,2576.669,2581.125,2501.956,44056731116.0,4634580100.0
2011-10-25,2572.708,2625.425,2633.968,2560.047,57533462226.0,5796737500.0
2011-10-26,2613.272,2651.652,2679.658,2611.012,69534363517.0,7309824000.0
2011-10-27,2658.428,2657.478,2672.84,2647.296,47403219262.0,4882039100.0
2011-10-28,2694.542,2709.017,2729.139,2689.376,72908419745.0,7164310500.0
2011-10-31,2704.535,2695.307,2709.317,2680.992,52522499085.0,5040711200.0
2011-11-01,2672.508,2697.534,2726.088,2669.05,56067605452.0,5520665100.0
2011-11-02,2658.547,2742.39,2742.938,2653.722,65327476275.0,6436158400.0
2011-11-03,2752.627,2744.301,2781.039,2743.196,90502549983.0,8482076000.0
2011-11-04,2770.572,2763.746,2781.99,2748.978,63500868592.0,6195821800.0
2011-11-07,2750.991,2736.248,2769.296,2733.168,47761935110.0,4537505600.0
2011-11-08,2745.059,2727.71,2756.091,2723.693,47864912703.0,4788425200.0
2011-11-09,2739.154,2751.654,2755.811,2710.054,48484230112.0,4687796000.0
2011-11-10,2720.836,2699.588,2729.572,2698.306,51793948486.0,5117370200.0
2011-11-11,2705.243,2695.002,2713.914,2685.101,38724219259.0,3663669600.0
2011-11-14,2717.544,2750.195,2751.88,2714.862,51333489021.0,4639094300.0
2011-11-15,2746.773,2744.68,2754.001,2732.913,46980738996.0,4175986400.0
2011-11-16,2745.858,2670.116,2746.29,2659.148,57844199048.0,5594923900.0
2011-11-17,2671.953,2662.017,2687.831,2660.651,37762635927.0,3524765200.0
2011-11-18,2643.667,2606.495,2646.209,2601.179,44949477108.0,4241471800.0
2011-11-21,2608.556,2609.687,2613.262,2587.742,31175406753.0,2797189600.0
2011-11-22,2592.229,2609.475,2611.15,2580.781,31886735092.0,2906907800.0
2011-11-23,2613.291,2584.011,2617.088,2578.157,30958563539.0,2853141200.0
2011-11-24,2565.686,2588.915,2604.236,2557.695,31894726945.0,3031960100.0
2011-11-25,2585.137,2569.973,2598.392,2563.65,27509358470.0,2391376600.0
2011-11-28,2578.344,2573.321,2589.354,2562.493,29179539395.0,2566693600.0
2011-11-29,2595.086,2608.569,2609.187,2580.293,34962425966.0,3002587800.0
2011-11-30,2600.099,2521.52,2601.9,2507.184,42454205363.0,4235264500.0
2011-12-01,2596.153,2583.613,2630.664,2577.722,66146809487.0,6352025200.0
2011-12-02,2570.56,2557.311,2575.692,2543.532,33168419336.0,3218370300.0
2011-12-05,2561.2,2521.385,2561.2,2517.179,32749927399.0,3206338800.0
2011-12-06,2515.044,2516.341,2525.666,2499.574,26310941611.0,2629758100.0
2011-12-07,2517.341,2528.228,2534.529,2509.777,23433730534.0,2326183900.0
2011-12-08,2525.041,2525.001,2549.101,2494.694,27843683566.0,2777774400.0
2011-12-09,2506.624,2503.461,2525.162,2496.972,25477241953.0,2402905900.0
2011-12-12,2497.922,2477.692,2502.046,2476.116,21200444065.0,2190124900.0
2011-12-13,2467.016,2421.928,2472.656,2418.673,33269154181.0,3571753400.0
2011-12-14,2415.944,2397.48,2433.55,2392.299,23753606413.0,2532010900.0
2011-12-15,2382.441,2340.788,2384.473,2340.447,33900401991.0,3675083400.0
2011-12-16,2339.976,2390.129,2390.378,2332.14,33652058785.0,3630233900.0
2011-12-19,2370.418,2384.408,2387.89,2321.657,33711370957.0,3790975200.0
2011-12-20,2376.709,2377.073,2412.572,2373.86,29967658690.0,3240232700.0
2011-12-21,2397.275,2339.108,2404.775,2337.693,30917839680.0,3120952500.0
2011-12-22,2325.27,2341.335,2358.468,2294.607,31845455341.0,3668385800.0
2011-12-23,2337.382,2359.159,2382.709,2331.958,29910296920.0,3316190400.0
2011-12-26,2345.555,2335.702,2369.818,2334.794,25033053118.0,2822408700.0
2011-12-27,2332.826,2305.035,2346.384,2302.411,26777021276.0,2927731400.0
2011-12-28,2295.866,2307.928,2309.645,2267.114,28839274201.0,3288202000.0
2011-12-29,2297.288,2311.361,2323.488,2293.872,26868223305.0,3088770000.0
2011-12-30,2318.673,2345.742,2349.029,2318.673,32362650284.0,3586524300.0
2012-01-04,2361.499,2298.753,2365.988,2298.298,32572551267.0,3434456700.0
2012-01-05,2290.78,2276.385,2316.657,2272.153,37635272074.0,4301648000.0
2012-01-06,2274.352,2290.601,2291.885,2254.567,31079362325.0,3519899200.0
2012-01-09,2291.182,2368.57,2368.889,2271.717,51478126954.0,5472734100.0
2012-01-10,2365.768,2447.349,2449.955,2361.281,75249157103.0,8115498900.0
2012-01-11,2444.757,2435.608,2453.146,2423.322,57587219272.0,5870567400.0
2012-01-12,2426.82,2435.219,2464.378,2423.321,47877407259.0,4712127500.0
2012-01-13,2438.405,2394.334,2445.787,2374.545,47228338588.0,4551399700.0
2012-01-16,2376.953,2345.649,2394.498,2345.633,34410385319.0,3052714500.0
2012-01-17,2347.568,2460.601,2462.429,2329.248,64324131068.0,6420564800.0
2012-01-18,2464.92,2422.189,2485.498,2414.527,67058838880.0,6389235800.0
2012-01-19,2423.857,2468.35,2480.206,2414.985,56377653304.0,5561572600.0
2012-01-20,2476.73,2504.086,2510.34,2462.594,57474475709.0,5452978300.0
2012-01-30,2508.877,2460.72,2508.877,2460.396,44770885276.0,4351714800.0
2012-01-31,2462.338,2464.26,2472.839,2447.768,32694132107.0,3070150100.0
2012-02-01,2458.233,2428.994,2481.664,2423.45,37752320797.0,3501537400.0
2012-02-02,2437.47,2486.238,2486.238,2429.709,44126383715.0,4206698500.0
2012-02-03,2478.336,2506.09,2514.645,2470.28,51507545973.0,4994924000.0
2012-02-06,2511.172,2504.322,2520.758,2488.709,47541523547.0,4507990500.0
2012-02-07,2489.032,2457.954,2489.032,2441.698,40034277145.0,3967916400.0
2012-02-08,2456.422,2528.236,2534.162,2450.999,61721305024.0,5618645600.0
2012-02-09,2525.589,2529.231,2546.025,2513.131,63456204565.0,5929975100.0
